Epoch,Stage,Scale,Train_Loss_G,Train_Loss_D,Val_PSNR,Val_SSIM,Val_LPIPS
5,1,2,0.00640008457298654,0.0,37.517216334971344,0.9806371276834996,0.019139811619433154
10,1,2,0.006033517330073529,0.0,38.11515422200048,0.982025648876536,0.01730619306933217
15,1,2,0.0057956511126752725,0.0,38.500253387341985,0.9830389574978703,0.01530853662260552
20,1,2,0.005639103254153159,0.0,38.7959865883979,0.9836671664626668,0.014747027434785192
25,1,2,0.00552408895976438,0.0,38.993334313553575,0.9840246526414466,0.014209831469194141
30,1,2,0.005430995695131565,0.0,39.16111224338848,0.9841771884446494,0.014194344708248395
35,1,2,0.005351131338688907,0.0,39.31764575705758,0.9846544431374765,0.013550804951061595
40,1,2,0.005283072633415496,0.0,39.460951375762264,0.984911291565153,0.012898402009214861
45,1,2,0.005221895426377278,0.0,39.553843383925546,0.9850605309684858,0.012744766546534924
50,1,2,0.005166649926010022,0.0,39.67508235628859,0.9852110601175237,0.012421293887443015
55,1,2,0.0051187355055616075,0.0,39.781693634278874,0.9854161556839018,0.012117061393513729
60,1,2,0.005073809762015742,0.0,39.870484488026044,0.9855411206069417,0.011993657180303059
65,1,2,0.005035906493278258,0.0,39.950598089483144,0.985665289770654,0.011980630491832999
70,1,2,0.004999298143405669,0.0,40.0183970952361,0.985755577905589,0.011442162548208505
75,1,2,0.004968604707819209,0.0,40.09574634345003,0.9858558860895672,0.011535743857538422

80,1,2,0.0049384738179652195,0.0,40.14750297992231,0.9859018387116345,0.011625888850984202
85,1,2,0.004911511164230309,0.0,40.21635143004789,0.98600821132168,0.011538055841602744

90,1,2,0.0049490182036836545,0.0,40.077911803462214,0.9858328112371635,0.01169897199514809
95,1,2,0.004918338179254342,0.0,40.16768870754617,0.9859514846891325,0.011499272613188049
100,1,2,0.004892032458721498,0.0,40.174762102558134,0.9859915872414907,0.01108253476790002
105,1,2,0.0048659729502902385,0.0,40.282617542810506,0.9861290947660208,0.010969081530988896
110,1,2,0.004842828871529868,0.0,40.312466966586946,0.9861732069480682,0.010759244387642829
115,1,2,0.0048192754425960185,0.0,40.338453938865776,0.9861953960121851,0.010752587729413007
120,1,2,0.004800336856269485,0.0,40.62,0.9927,0.010779042562681428
